基金名字,最早数据时间,最晚数据时间,总投入资金,账户资金,盈亏资金,盈亏率,最大回撤,买入手续费合计,卖出手续费合计
兴全沪深300增强A,2024-06-06,2024-11-29,21000.0,22351.86094447514,1351.8609444751382,6.4374330689292325,21.630725153896783,25.200000000000003,0.0
南方中证500ETF联接(LOF)A,2024-06-06,2024-11-29,14000.0,15610.313866786406,1610.313866786406,11.502241905617193,28.206873086083707,16.8,0.0
